Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of ??mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?","If , what condition(s) do you believe you have?",Have you been diagnosed with a mental health condition by a medical professional?,"If so, what condition(s) were you diagnosed with?",Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?
0,500-1000,1,,1,1,1,1,,2,0,0,1,1,0,0,,,,,,,,1,Some did,N/A (0t currently aware),0ne did,0ne did,,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,1,"I've previously been punished for taking care of my physical health after a bike accident. I do 0t want to be in that situation again, so I would bring up any issues I had while interviewing.",Maybe,Many people still disbelieve that adult ADHD is a thing ?€? if I suspected a  potential employer had problems I might try to suss them out before taking a job.,,0,5,Maybe/0t sure,0,1,1,1,Attention Deficit Hyperactivity Disorder,,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,3,4,28,Other,United States of America,California,United States of America,California,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
0,More than 1000,1,,1,1,0,0,,1,0,0,,,,0,,,,,,,,1,Some did,I was aware of some,0ne did,0ne did,,,0ne of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",,0ne of them,,,,"it depends. my current job, i made an offhand reference to my therapist in the cover letter. but i also believed myself woefully underqualified at the time so I can't vouch for having taken the application completely seriously.",0,0,4,0,,0,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,3,4,40,Other,United States of America,Iowa,United States of America,Iowa,Back-end Developer,Sometimes
0,26-100,1,,1,1,0,1,,3,,0,,0,0,0,,,,,,,,1,Some did,"1, I was aware of all of them",Some did,Some did,Sometimes,Some of them,Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",Some did,0ne of them,Maybe,"I want to be considered the same as every other applicant, and 0t be categorized by my limitations.",0,"I want to be considered the same as every other applicant, and 0t be categorized by my limitations.",1,,4,"1, I experienced",1,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,1,4,26,Other,United States of America,California,United States of America,California,HR|Dev Evangelist/Advocate|Sales,Sometimes
0,6-25,1,,1,0,0,0,,2,0,0,,,1,0,,,,,,,,1,Some did,I was aware of some,0ne did,0ne did,,"1, all of them",Some of them,Some of my previous employers,Some of my previous employers,,Some of them,0,I don't have anything serious e0ugh to chance negatively affecting the outcome.,,"It would depend on whether or 0t I could trust the employer to 0t stigmatise me as well as how desperately I needed or wanted the job. I can cover my illness fairly well and wouldn't want to harm my chances of getting the job, if necessary.",,0,4,"1, I observed",0,1,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (A0rexia, Bulimia, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Para0id, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (A0rexia, Bulimia, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Para0id, etc)",1,3,4,31,Other,United States of America,Oregon,United States of America,Wisconsin,Front-end Developer|Designer,Always
0,6-25,1,,,,1,0,1,2,,,1,1,,0,,,,,,,,1,"0, 0ne did",I was aware of some,0ne did,0ne did,0,"1, all of them",Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,Some of them,0,"Less chances of getting the job, I think",0,"Less chances of getting the job, plus negative references for the future.",1,0,1,0,,1,1,0,,,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes",1,1,4,26,Female,Spain,,Spain,,Front-end Developer|Back-end Developer,Sometimes
0,500-1000,1,,,0,1,1,,,1,,0,,0,0,,,,,,,,1,"0, 0ne did","1, I was aware of all of them",0ne did,0ne did,0,"1, all of them",Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",,0ne of them,0,,0,,1,1,1,/0t sure,N/A,1,1,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,,4,33,Other,United Kingdom,,United Kingdom,,Other|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer,Never
0,6-25,1,,1,1,0,0,1,1,0,0,1,,,0,,,,,,,,1,Some did,"1, I was aware of all of them",Some did,"1, they all did","1, always",Some of them,0ne of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,0,0ne of their business,0,0t related to my qualifications or skills,,,4,0,,0,,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",1,4,4,37,Female,United States of America,California,United States of America,California,Supervisor/Team Lead,Always
0,1-5,1,,,,0,0,,4,1,,0,0,,0,,,,,,,,1,,N/A (0t currently aware),0ne did,0ne did,,Some of them,Some of them,Some of my previous employers,Some of my previous employers,,0ne of them,0,"Maybe a second or third interview, but 0t the first. It's 0t their business, unless we're both serious about working together.",0,"Same reason as physical health - it's 0t their business straight up, so maybe in a later interview",,,4,Maybe/0t sure,N/A,,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (A0rexia, Bulimia, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,3,4,24,Female,Australia,,Australia,,Front-end Developer,Sometimes
0,26-100,1,,1,1,0,0,,4,,0,,0,0,0,,,,,,,,1,Some did,I was aware of some,0ne did,0ne did,,Some of them,0ne of them,Some of my previous employers,Some of my previous employers,,0ne of them,Maybe,"if it were serious, I'd worry that it would prevent my being hired",Maybe,I don't have anything diag0sed specifically wrt my anxiety and depression.  Sometimes I don't take it as seriously because of that.,,,4,Maybe/0t sure,0,1,1,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Eating Disorder (A0rexia, Bulimia, etc)|Stress Response Syndromes",0,,1,3,3,39,Female,United States of America,0rth Carolina,United States of America,0rth Carolina,Back-end Developer,Never
0,26-100,1,,1,1,1,1,1,2,0,0,1,1,1,0,,,,,,,,1,Some did,N/A (0t currently aware),0ne did,Some did,,Some of them,0ne of them,Some of my previous employers,"0, at 0ne of my previous employers",Some did,Some of them,1,,0,,,0,5,"1, I observed",0,1,1,0,,,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,0,4,41,Female,United States of America,Minnesota,United States of America,Minnesota,Front-end Developer,Sometimes
0,6-25,1,,,,1,1,1,1,0,0,1,1,1,0,,,,,,,,1,,N/A (0t currently aware),0ne did,0ne did,,0ne of them,0ne of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,Maybe,"It would depend on whether the issue would affect my needs in the workplace. If so, bring it up. If 0t, it's 0t necessary to bring up.",Maybe,Same reasons as physical,,0,,0,,,0,0,,,0,,0,,,27,Female,Australia,,Australia,,Front-end Developer,Sometimes
0,1-5,0,1,,0,1,0,,5,1,,1,0,,0,,,,,,,,1,"1, they all did","1, I was aware of all of them","1, they all did","1, they all did",Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,,Some of them,Maybe,"I would if I got the impression it wouldn't count against me/the interviewer seemed empathetic to that scenario, because that condition might likely mean time away from work to address the issue and I would want to k0w the policies in place for employees with physical health issues, particularly for chronic illness. ",0,"It's a very personal thing, to talk about a mental health issue. It is harder to talk about because it forces me to tell you something that you otherwise might never k0w, unlike a physical ailment which could be visible or become visible over time without my consenting to share it. ",,,4,"1, I observed",0,,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",0,,1,,4,36,Female,United States of America,Indiana,United States of America,Indiana,Other,Sometimes
0,500-1000,1,,1,0,0,,,,,0,,1,1,0,,,,,,,,1,,N/A (0t currently aware),0ne did,0ne did,,,Some of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,Maybe,Risk of 0t getting an offer,Maybe,Risk of 0t getting an offer,1,1,4,Maybe/0t sure,Maybe,1,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,3,3,36,Female,United States of America,Maryland,United States of America,Maryland,Front-end Developer,Always
0,1-5,1,,,,0,1,1,1,0,0,,1,1,0,,,,,,,,1,,N/A (0t currently aware),,0ne did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,0,My physical health is a personal issue.  I would only discuss this with people after I have established that I can trust them.,0,I would only discuss my mental health issues with a person after I have established that I can trust them.  I also want to show that it will 0t affect my job performance before I reveal any sort of personal issues.,0,0,4,0,,1,0,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,1,4,28,Female,United States of America,Kansas,United States of America,Kansas,Designer,Sometimes
0,6-25,1,,,,0,,,2,0,0,,1,1,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,,Some of them,Some of my previous employers,Some of my previous employers,0ne did,0ne of them,0,,0,There is still a stigma around mental health issues. The interviewer's perception of my skills and capability to perform the required tasks of the role may be altered because of this (even though I wouldn't have the job yet).,,,3,"1, I observed",1,,,,,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Para0id, etc)",0,,0,,,31,Female,Other,,Other,,Support|Other,Always
0,More than 1000,0,0,1,1,1,1,1,1,1,,0,0,1,0,,,,,,,,0,,,,,,,,,,,,Maybe,They may 0t hire me thinking I might take time off from work. ,0,Supervisors don't like to deal with those sort of issues.,1,1,,0,,,0,0,,,0,,1,,,55,Female,United States of America,California,United States of America,California,HR,Never
0,26-100,1,,1,0,1,1,1,3,0,0,,1,0,0,,,,,,,,1,,N/A (0t currently aware),Some did,Some did,,"1, all of them",Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,Some of them,0,,0,,1,1,4,"1, I observed",1,0,0,0,,,0,,0,,,34,Female,United States of America,Michigan,United States of America,Michigan,Supervisor/Team Lead,Sometimes
0,100-500,1,,1,0,0,0,,1,,0,,,0,1,,,,,,,,1,"1, they all did","1, I was aware of all of them",0ne did,Some did,"1, always",Some of them,0ne of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,1,"there's 0 stigma to saying you have an rsi, a heart condition, etc.",0,because it gets equated with mental competency and makes you look bad,1,,4,"1, I experienced",1,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",1,3,4,44,Female,United States of America,Oregon,United States of America,Oregon,Supervisor/Team Lead,Always
0,100-500,1,,,,,,,,0,0,,,,0,,,,,,,,1,Some did,"0, I only became aware later",0ne did,Some did,,,0ne of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,,Depends in the health issue,,Depends on the health issue,,,3,0,,,0,0,,,0,,0,,,30,Female,Germany,,Germany,,Other,Never
0,26-100,0,1,0,,0,0,,4,0,0,,1,1,0,,,,,,,,1,Some did,I was aware of some,0ne did,0ne did,,Some of them,Some of them,Some of my previous employers,"0, at 0ne of my previous employers",0ne did,0ne of them,0,I would only bring it up if it affected my ability to do my job,Maybe,If it affected my ability to do my job,0,0,3,0,,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,1,3,45,Female,United Kingdom,,United Kingdom,,Back-end Developer,Always
0,26-100,1,,,,,,,1,0,0,0,,1,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,0,"1, all of them",Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,0ne of them,0,Wouldn't want to risk job,0,As above,1,,1,0,,,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (A0rexia, Bulimia, etc)",,0,,0,,3,28,Female,United Kingdom,,United Kingdom,,Front-end Developer,Always
0,26-100,1,,1,1,1,1,,2,0,0,1,1,1,0,,,,,,,,1,Some did,N/A (0t currently aware),,0ne did,,Some of them,Some of them,Some of my previous employers,Some of my previous employers,,Some of them,Maybe,Depends on the employer and how specifically it is referenced.  Likely would ask about their short-term disability and qualifying events,Maybe,Same as above,,0,4,"1, I experienced",0,1,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",0,1,4,29,Female,United States of America,Minnesota,United States of America,Minnesota,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes
0,More than 1000,0,1,,0,0,0,,4,,0,0,1,0,0,,,,,,,,1,"0, 0ne did","0, I only became aware later",0ne did,0ne did,,Some of them,0ne of them,"0, at 0ne of my previous employers",,0ne did,0ne of them,Maybe,"I would worry that a potential employer might see a physical illness as a reason I might 0t be able to work, or to be available for work as much as this profession demands.",0,I think a potential employer would definitely see a mental health issue as a reason 0t to hire me.,1,,2,"1, I experienced",1,,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,0,3,45,Female,United States of America,Texas,United States of America,Texas,DevOps/SysAdmin|Back-end Developer,Always
0,500-1000,1,,1,0,0,,,2,,,1,1,,0,,,,,,,,1,Some did,I was aware of some,0ne did,Some did,,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,0,"I have this idea that ""signs of weakness"" will always be a disadvantage in an interview",0,same as above,1,,5,"1, I observed",N/A,1,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,1,4,31,Female,United States of America,Oregon,United States of America,Oregon,Back-end Developer,Always
0,26-100,0,1,0,,0,0,,4,,,,,,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,Some of them,Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,Some of them,0,0t relevant to the interview process.,0,0t relevant to the interview process.,1,,4,"1, I observed",,,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (A0rexia, Bulimia, etc)|Post-traumatic Stress Disorder",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (A0rexia, Bulimia, etc)",1,,4,36,Female,United Kingdom,,United Kingdom,,Back-end Developer,Sometimes
